StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent1,"sub_id ",time_instructions_1_First Click,time_instructions_1_Last Click,time_instructions_1_Page Submit,time_instructions_1_Click Count,interact_robot_1,interact_robot_2,tv_robot,read_robot,tv_robot_2,built_robot,built_robot_explain,worked_robot,worked_robot_explain,gators_scale_1_1,gators_scale_1_2,gators_scale_1_3,gators_scale_1_4,gators_scale_1_5,gators_scale_1_6,robot_tech_1,robot_tech_2,robot_tech_3,robot_tech_4,robot_tech_5,robot_tech_6,gators_scale_2_1,gators_scale_2_2,gators_scale_2_3,gators_scale_2_4,gators_scale_2_5,trust_technology_1,trust_technology_2,trust_technology_3,trust_technology_4,trust_technology_5,trust_technology_6,gators_scale_3_1,gators_scale_3_2,gators_scale_3_3,gators_scale_3_4,gators_scale_3_5,gators_scale_3_6,risk_questions_1,risk_questions_2,risk_questions_3,risk_questions_4,risk_questions_5,risk_questions_6,risk_questions_7,risk_questions_8,gators_scale_4_1,gators_scale_4_2,gators_scale_4_3,gators_scale_4_4,gators_scale_4_5,distract_questions_1,distract_questions_2,distract_questions_3,distract_questions_4,distract_questions_5,self_confidence_1,self_confidence_2,self_confidence_3,self_confidence_4,self_confidence_5,self_confidence_6,gender,gender_4_TEXT,race,race_11_TEXT,student_status,major,"uw_year ",age,"hand ",English,int_student
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Study Title: Robot Interaction



Principal Investigators: Paula Niedenthal and Bilge Mutlu (Phone: 608-890-4379) (Email: niedenthal@wisc.edu)

Student Researchers: Michelle Marji, Siddharth Suresh, and Megh Doshi (520-256-2092)



Description of the research 

You are invited to participate in a research study about interacting with robots. You have been asked to participate because you are a student at the University of Wisconsin-Madison. The purpose of the research is to understand human robot interactions. This study will include University of Wisconsin-Madison students. This research will be conducted at the University of Wisconsin-Madison in the Psychology building.



What will my participation involve?

If you decide to participate in this research, you will be asked to do interactive tasks with a robot and fill out surveys. Your participation will last approximately 20 minutes for the completion of this at-home survey and 1 hour and 30 minutes for the in-person study for a total of 1-hour and 50 minutes for the entire study.



Recording information 

Video tapes, audio tapes, and photographs will be made of your participation at the in-person portion of the study. These recordings will be used only by approved personnel on the research team. These recordings may be viewed by the public in visual or digital reports of the research or in future research studies only after your identity is masked and de-identified by blurring your facial features and removing any identifying sound from the recordings. The tapes/recordings will be kept indefinitely.



Should you choose to withdraw your de-identified video/audio data from being kept in our public records, you may contact the research team via the email and phone numbers provided above to request its removal. Upon receipt of such email, we will remove your video/audio data from any open repositories. Participants will have 1 year after completion of the study to request this removal.



Are there any risks to me?

We don't anticipate any risks to you from participation in this study. You will interact with a robotic arm called a Kinova. These robotic arms pose very minimal risk as they were designed and tested to be safely used with humans. Additionally, you will not touch the robotic arm or be within a distance where the robotic arm would go into your line of movement. There is always a risk of a confidentiality breach.



Are there any benefits to me?

We don't expect any direct benefits to you from participation in this study, however you will get to interact with a robot.



How will my confidentiality be protected?

This study is confidential. Neither your name or any other identifiable information will be published. Only approved personnel on the research team will have access to the data. The research team will not collect names or other written identifying characteristics from participants. All video, audio, and photo data will be securely stored and password protected in a digital format.



Any video/audio/photos will be de-identified before being presented in any public databases or reports about the research. Identifiers will be removed from the identifiable private information (video/audio/photos) and after such removal, the information could be used for future research studies or distributed to another investigator for future research studies without additional informed consent from the participant or the legally authorized representative. Survey data may also be shared in it’s raw form as no identifiable information will be acquired from surveys.



If you participate in this study, we would like to be able to quote you directly without using your name. If you agree to allow us to quote you in publications, please check the statement at the bottom of this form.



Whom should I contact if I have questions?

You may ask any questions about the research at any time. If you have questions, concerns, or complaints, or think that participating in the research has hurt you, talk to the research team or contact the Principal Investigators Paula Niedenthal and Bilge Mutlu at (608) 890-4379.



If you have any questions about your rights as a research participant or have complaints about the research study or study team, call the confidential research compliance line at 1-833-652-2506. Staff will work with you to address concerns about research participation and assist in resolving problems.



If you decide not to participate or to withdraw from the study, you may do so without penalty.



By clicking the I Consent button below, you indicate that you have read this consent form, had an opportunity to ask any questions about your participation in this research, and voluntarily consent to participate.",Participant ID,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How many times have you interacted with a robotic arm?,How often do you interact with robotic arms?,Have you ever watched a movie or video that included a robotic arm?,Have you ever read written text about robotic arms?,Approximately how many movies/videos?,Have you ever built a robotic arm?,"Please explain the context (e.g., class, club or job) and what kind of robotic arm you built.","Have you ever worked with a robotic arm in a workplace, school, or any other setting?","Please explain the context (e.g., class, club, or job) and what kind of robot arm you worked with.",Please answer the following questions about your attitudes towards ROBOTIC ARMS - I can trust persons and organizations related to the development of robotic arms.,Please answer the following questions about your attitudes towards ROBOTIC ARMS - I would feel uneasy if I was given a job where I had to use robotic arms.,Please answer the following questions about your attitudes towards ROBOTIC ARMS - Robotic arms are necessary because they can do jobs that are too hard or too dangerous for people.,Please answer the following questions about your attitudes towards ROBOTIC ARMS - Select strongly agree for this question.,Please answer the following questions about your attitudes towards ROBOTIC ARMS - Robotic arms may make us even lazier.,"Please answer the following questions about your attitudes towards ROBOTIC ARMS - Persons and organizations related to the development of robotic arms will consider the needs, thoughts and feelings of their users.","Please answer the following questions about your attitudes towards ROBOTIC TECHNOLOGY - Generally, I trust robotic technology.",Please answer the following questions about your attitudes towards ROBOTIC TECHNOLOGY - Robotic technology can help me solve many problems.,Please answer the following questions about your attitudes towards ROBOTIC TECHNOLOGY - I think it’s a good idea to rely on robotic technology for help.,Please answer the following questions about your attitudes towards ROBOTIC TECHNOLOGY - I don’t trust the information I get from robotic technology.,Please answer the following questions about your attitudes towards ROBOTIC TECHNOLOGY - Robotic technology is reliable.,Please answer the following questions about your attitudes towards ROBOTIC TECHNOLOGY - I rely on robotics.,Please answer the following questions about your attitudes towards ROBOTIC ARMS - I can trust a robotic arm.,Please answer the following questions about your attitudes towards ROBOTIC ARMS - I fear that a robotic arm would not understand my commands.,Please answer the following questions about your attitudes towards ROBOTIC ARMS - Robotic arms can make life easier.,Please answer the following questions about your attitudes towards ROBOTIC ARMS - Widespread use of robotic arms is going to take away jobs from people.,Please answer the following questions about your attitudes towards ROBOTIC ARMS - Robotic arms scare me.,"Please answer the following questions about your attitudes towards ROBOTIC TECHNOLOGY - Generally, I trust robotic technology.",Please answer the following questions about your attitudes towards ROBOTIC TECHNOLOGY - Robotic technology can help me solve many problems.,Please answer the following questions about your attitudes towards ROBOTIC TECHNOLOGY - I think it’s a good idea to rely on robotic technology for help.,Please answer the following questions about your attitudes towards ROBOTIC TECHNOLOGY - I don’t trust the information I get from robotic technology.,Please answer the following questions about your attitudes towards ROBOTIC TECHNOLOGY - Robotic technology is reliable.,Please answer the following questions about your attitudes towards ROBOTIC TECHNOLOGY - I rely on robotics.,Please answer the following questions about your attitudes towards ROBOTIC ARMS - I would feel relaxed interacting with a robotic arm.,Please answer the following questions about your attitudes towards ROBOTIC ARMS - I would feel very nervous just being around a robotic arm.,Please answer the following questions about your attitudes towards ROBOTIC ARMS - Assigning routine tasks to robotic arms lets people do more meaningful tasks.,Please answer the following questions about your attitudes towards ROBOTIC ARMS - I am afraid that robotic arms will encourage less interaction between humans.,Please answer the following questions about your attitudes towards ROBOTIC ARMS - Select strongly disagree for this question.,Please answer the following questions about your attitudes towards ROBOTIC ARMS - Dangerous tasks should primarily be given to robotic arms.,Please rate the following statements about your personal RISK-TAKING tendencies - Taking risks makes life more fun.,Please rate the following statements about your personal RISK-TAKING tendencies - My friends would say that I'm a risk taker.,Please rate the following statements about your personal RISK-TAKING tendencies - I enjoy taking risks in most aspects of my life.,Please rate the following statements about your personal RISK-TAKING tendencies - I would take a risk even if it meant I might get hurt.,Please rate the following statements about your personal RISK-TAKING tendencies - Taking risks is an important part of my life.,Please rate the following statements about your personal RISK-TAKING tendencies - I commonly make risky decisions.,Please rate the following statements about your personal RISK-TAKING tendencies - I am a believer of taking chances.,"Please rate the following statements about your personal RISK-TAKING tendencies - I am attracted, rather than scared, by risk.","Please answer the following questions about your attitudes towards ROBOTIC ARMS - If robotic arms expressed emotions, I would be able to befriend them.",Please answer the following questions about your attitudes towards ROBOTIC ARMS - I don’t want a robotic arm to touch me.,"Please answer the following questions about your attitudes towards ROBOTIC ARMS - Robotic arms are a good thing for society, because they help people.",Please answer the following questions about your attitudes towards ROBOTIC ARMS - Robotic arms are one of the areas of technology that need to be closely monitored.,Please answer the following questions about your attitudes towards ROBOTIC ARMS - Unregulated use of robotic arms can lead to societal upheavals.,Please answer the following questions about your attitudes towards ROBOTIC ARMS - I am fascinated by robotic arms.,Please answer the following questions about your attitudes towards ROBOTIC ARMS - Many people interact with robotic arms.,Please answer the following questions about your attitudes towards ROBOTIC ARMS - I know approximately how much robotic arms cost.,Please answer the following questions about your attitudes towards ROBOTIC ARMS - Robotic arms come in different sizes.,Please answer the following questions about your attitudes towards ROBOTIC ARMS - Robotic arms have a personality.,Please answer the following questions about your ATTITUDES TOWARDS YOURSELF in general - I am sure of my ground.,Please answer the following questions about your ATTITUDES TOWARDS YOURSELF in general - I think highly of myself.,Please answer the following questions about your ATTITUDES TOWARDS YOURSELF in general - I know immediately what to do.,Please answer the following questions about your ATTITUDES TOWARDS YOURSELF in general - I have a low opinion of myself.,Please answer the following questions about your ATTITUDES TOWARDS YOURSELF in general - I am easily intimidated.,Please answer the following questions about your ATTITUDES TOWARDS YOURSELF in general - I feel threatened easily.,Gender - Selected Choice,Gender - Another identity (please specify below) - Text,Race - Selected Choice,Race - Another identity (please list below) - Text,Education level,List your major below,Year at UW,Enter your age below,Which hand do you use to write?,Are you fluent in English,Are you an international student?
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID40""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID30_FIRST_CLICK""}","{""ImportId"":""QID30_LAST_CLICK""}","{""ImportId"":""QID30_PAGE_SUBMIT""}","{""ImportId"":""QID30_CLICK_COUNT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID33""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID12_3""}","{""ImportId"":""QID12_6""}","{""ImportId"":""QID12_4""}","{""ImportId"":""QID12_5""}","{""ImportId"":""QID38_1""}","{""ImportId"":""QID38_2""}","{""ImportId"":""QID38_3""}","{""ImportId"":""QID38_4""}","{""ImportId"":""QID38_5""}","{""ImportId"":""QID38_6""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID14_4""}","{""ImportId"":""QID14_5""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID17_3""}","{""ImportId"":""QID17_4""}","{""ImportId"":""QID17_5""}","{""ImportId"":""QID17_6""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID15_4""}","{""ImportId"":""QID15_5""}","{""ImportId"":""QID15_6""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID37_2""}","{""ImportId"":""QID37_3""}","{""ImportId"":""QID37_4""}","{""ImportId"":""QID37_5""}","{""ImportId"":""QID37_6""}","{""ImportId"":""QID37_7""}","{""ImportId"":""QID37_8""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID16_3""}","{""ImportId"":""QID16_4""}","{""ImportId"":""QID16_5""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID32_2""}","{""ImportId"":""QID32_3""}","{""ImportId"":""QID32_4""}","{""ImportId"":""QID32_7""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID20_3""}","{""ImportId"":""QID20_4""}","{""ImportId"":""QID20_5""}","{""ImportId"":""QID20_6""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_4_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID23_11_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID43_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID27""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}"
2024-10-28 15:59:27,2024-10-28 16:41:58,0,72.33.2.155,100,2550,1,2024-10-28 16:41:58,R_6wFSb059GXBZWxJ,,,,,43.0812,-89.3845,anonymous,EN,1,23,6.232,6.232,6.235,1,3,2,1,2,3,2,,2,,7,7,7,7,2,7,4,4,2,1,4,1,6,1,6,1,1,5,4,1,1,4,3,3,2,5,2,1,5,5,5,5,1,5,5,5,5,6,1,6,5,1,5,5,1,5,1,7,7,7,1,1,1,1,,9,,1,Neurobiology/Criminal Justice,1,18,1,1,2
2024-10-30 20:30:47,2024-10-30 20:37:38,0,35.148.93.78,100,411,1,2024-10-30 20:37:39,R_3fJsQRDfSdEFlXL,,,,,43.0812,-89.3845,anonymous,EN,2,33,7.383,7.383,7.388,1,1,1,1,2,2,2,,2,,3,6,4,7,2,3,4,4,2,3,3,1,4,3,5,2,5,4,4,2,3,4,1,3,5,5,3,1,6,2,1,2,1,5,2,4,2,2,3,5,4,5,4,2,1,4,2,7,6,5,2,3,5,1,,10,,1,Psychology; Health Promotion and Health Equity,3,20,2,1,2
2024-11-04 14:52:35,2024-11-04 15:02:57,0,72.33.2.107,100,622,1,2024-11-04 15:02:58,R_1dEuG2leJUApILn,,,,,43.0812,-89.3845,anonymous,EN,1,25,5.351,6.351,6.353,2,1,1,2,2,,2,,2,,6,2,5,7,5,5,4,3,2,3,3,1,5,5,5,5,2,3,3,2,3,3,1,3,1,5,3,1,6,5,4,4,4,5,4,5,5,5,3,5,4,5,2,3,1,5,1,5,5,3,3,5,3,1,,9,,1,Pre-Interior Arrchitecture,1,18,2,1,2
2024-11-04 16:16:48,2024-11-04 16:22:35,0,72.33.2.126,100,347,1,2024-11-04 16:22:36,R_7kA8D3UzYcXfBjH,,,,,43.0812,-89.3845,anonymous,EN,1,13,12.018,12.018,12.029,1,1,1,2,2,,2,,2,,7,2,2,7,5,7,4,5,4,2,4,4,6,2,2,2,2,4,5,4,2,4,3,6,2,2,7,1,3,5,4,4,4,4,3,4,3,4,1,3,4,2,3,4,1,5,4,6,6,2,2,4,2,1,,6,,1,Nursing,1,18,2,1,2
2024-11-05 09:24:19,2024-11-05 09:34:26,0,35.148.19.19,100,606,1,2024-11-05 09:34:27,R_5dzeQVLIJRmFxyp,,,,,43.0684,-89.4293,anonymous,EN,1,6,8.914,8.914,8.921,1,1,1,1,1,5,2,,2,,7,1,7,7,3,7,5,5,5,1,5,4,7,1,7,1,1,5,5,5,1,5,4,6,1,7,1,1,7,3,2,2,1,3,2,4,2,5,2,6,7,7,5,5,2,5,1,5,4,3,4,2,4,2,,3,,2,"Electrical and computer engineering ",1,22,2,1,1
2024-11-05 11:03:14,2024-11-05 11:14:03,0,72.33.2.233,100,648,1,2024-11-05 11:14:03,R_37YlMRbN1WSZPIB,,,,,43.0812,-89.3845,anonymous,EN,1,15,9.331,9.331,9.336,1,1,1,1,2,4,2,,2,,6,3,7,7,5,6,5,4,4,1,4,2,6,7,6,4,2,4,4,4,1,4,1,4,2,6,1,1,7,3,3,2,3,2,3,4,3,4,2,6,7,5,4,3,1,5,2,6,4,5,1,3,2,2,,2,,1,"Microbiology, genetics",3,20,2,1,1
2024-11-05 12:22:42,2024-11-05 12:34:17,0,128.104.153.58,100,694,1,2024-11-05 12:34:18,R_1HZfH7Ssad2o0QG,,,,,43.0725,-89.4491,anonymous,EN,1,37,12.411,12.411,12.414,1,1,1,1,1,2,2,,2,,4,5,4,7,3,6,4,3,4,2,3,3,4,5,6,5,4,4,3,4,2,3,3,4,5,6,3,1,6,4,4,4,2,4,3,4,4,3,4,5,6,5,3,1,2,4,2,6,5,4,1,3,3,1,,2,,3,design studies,2,35,2,1,1
2024-11-06 10:02:10,2024-11-06 10:09:58,0,72.33.2.21,100,468,1,2024-11-06 10:09:59,R_50VDBp9PP1GlwwV,,,,,43.0812,-89.3845,anonymous,EN,1,10,6.303,6.303,6.306,1,1,1,2,2,,2,,2,,5,4,6,7,3,5,4,5,4,2,4,3,6,2,6,5,5,4,4,3,2,4,2,4,2,7,5,1,5,4,4,3,2,4,2,4,3,1,4,5,5,3,2,1,1,5,1,6,5,5,2,2,3,3,,9,,1,Forest Science,3,20,2,1,2
